article_id,author_id
1001.0001,KrotovD
1001.0001,HedenO
1001.0361,GargouriY
1001.0361,HajjemC
1001.0361,LariviereV
1001.0361,GingrasY
1001.0361,CarrL
1001.0361,BrodyT
1001.0361,HarnadS
1001.1065,BaekS
1001.1065,BernhardssonS
1001.1122,ZinovyevA
1001.1122,GorbanA
1001.1139,AbalG
1001.1139,DonangeloR
1001.1139,MarquezinoF
1001.1139,PortugalR
1001.1269,BauerU
1001.1269,LangeC
1001.1269,WardetzkyM
1001.1401,DiPaolaS
1001.1401,GaboraL
1001.1482,GagnonF
1001.1482,CardinalC
1001.1482,AliO
1001.1603,NordmanR
1001.1624,BinderT
1001.1624,MartinetzT
1001.1826,KudekarS
1001.1826,RichardsonT
1001.1826,UrbankeR
1001.2175,MathissenC
1001.2416,WildM
1001.2447,HabifJ
1001.2447,TakeokaM
1001.2447,GuhaS
1001.2508,BoigelotB
1001.2508,BrustenJ
1001.2508,BruyereV
1001.2576,BelovS
1001.2576,DudkoL
1001.2576,KekelidzeD
1001.2576,SherstnevA
1001.2735,DasGuptaB
1001.2735,MuthukrishnanS
1001.2913,SmidM
1001.2913,WuhrerS
1001.2913,SeamoneB
1001.2913,DouiebK
1001.2913,ORourkeJ
1001.2913,DamianM
1001.2913,BoseP
1001.2932,JezA
1001.2932,OkhotinA
1001.3052,MarichalJ
1001.3052,MathonetP
1001.3116,ChoiV
1001.3187,ZhangR
1001.3187,LiangY
1001.3187,CuiS
1001.3193,VorobyovS
1001.3193,AhmedM
1001.3355,SuttonC
1001.3355,JordanM
1001.3365,JamalN
1001.3365,SaffarH
1001.3365,MitranP
1001.3448,BayatiM
1001.3448,MontanariA
1001.3705,WatanabeS
1001.3705,OohamaY
1001.3765,SoljaninE
1001.3765,SpasojevicP
1001.3765,KokaljFilipovicS
1001.3934,CouilletR
1001.3934,SilversteinJ
1001.3934,BaiZ
1001.3934,DebbahM
1001.4023,BoucheT
1001.4271,HassibiB
1001.4271,SezginA
1001.4271,AvestimehrA
1001.4271,KhajehnejadM
1001.4341,DereniowskiD
1001.4381,ZantemaH
1001.4381,RaffelsieperM
1001.4405,McGinnisJ
1001.4405,StathisK
1001.4405,ToniF
1001.4411,FitzgeraldJ
1001.4411,MozolevskyI
1001.4413,RajperN
1001.4413,ReiffMarganiecS
1001.4413,BocchiL
1001.4413,FiadeiroJ
1001.4419,CarriganN
1001.4419,ForbesN
1001.4419,JohnsonP
1001.4419,HouriziR
1001.4427,BourdierT
1001.4427,CirsteaH
1001.4427,DoughertyD
1001.4427,KirchnerH
1001.4429,BonelliE
1001.4429,BarenbaumP
1001.4434,MarinM
1001.4434,KutsiaT
1001.4434,DunduaB
1001.4436,GonzalezA
1001.4436,LunaC
1001.4437,GramlichB
1001.4437,SchernhammerF
1001.4438,VenturaD
1001.4438,AyalaRinconM
1001.4438,KamareddineF
1001.4519,PintoP
1001.4519,WinM
1001.4521,AlvaradoA
1001.4521,AgrellE
1001.4548,AgrellE
1001.4548,AlvaradoA
1001.4588,BandemerB
1001.4588,GamalA
1001.4737,GomezF
1001.4737,GregorioA
1001.4737,HerrerosJ
1001.4737,LeonardiR
1001.4737,ZoncaA
1001.4737,MaggioG
1001.4737,MainoD
1001.4737,MalaspinaM
1001.4737,MehargaM
1001.4737,ManzatoP
1001.4737,MeinholdP
1001.4737,MennellaA
1001.4737,PasianF
1001.4737,PerrottaF
1001.4737,ReboloR
1001.4737,TurlerM
1001.4737,MandolesiN
1001.4737,GasparoF
1001.4737,LeuteneggerP
1001.4737,FoglianiS
1001.4737,MarisM
1001.4737,TomasiM
1001.4737,GaleottaS
1001.4737,MiccolisM
1001.4737,FrailisM
1001.4737,RohlfsR
1001.4737,MorissetN
1001.4737,HildebrandtS
1001.4737,BersanelliM
1001.4737,ZaccheiA
1001.4737,DArcangeloO
1001.4737,ChulaniH
1001.4737,CuttaiaF
1001.4737,FranceschiE
1001.4737,BuriganaC
1001.4737,BinkoP
1001.4737,ButlerR
1001.5007,GarielM
1001.5007,SrivastavaA
1001.5007,FeronE
1001.5135,KanterI
1001.5135,EfraimH
1001.5135,YacovN
1001.5135,ShentalO
1001.5454,TuritsynK
1001.5454,GoldbergD
1001.5454,ChernyakV
1001.5454,ChertkovM
1002.0035,SteinN
1002.0035,OzdaglarA
1002.0035,ParriloP
1002.0214,SamperS
1002.0214,AdragnaP
1002.0214,FavreliereH
1002.0214,PilletM
1002.0253,AdragnaP
1002.0253,SamperS
1002.0253,PilletM
1002.0262,SamperS
1002.0262,FavreliereH
1002.0262,LedouxY
1002.0672,FoucartS
1002.0672,PajorA
1002.0672,RauhutH
1002.0672,UllrichT
1002.0783,MkrtchyanV
1002.0783,SteffenE
1002.0935,CarboneM
1002.0935,GuttmanJ
1002.0936,GrossmanD
1002.0936,KehrtM
1002.0936,EffingerDeanL
1002.0936,SchmitzM
1002.0937,BarrosJ
1002.0937,LopesL
1002.0937,MartinsF
1002.0939,MarrS
1002.0939,HauptM
1002.0939,TimbermontS
1002.0939,AdamsB
1002.0939,DHondtT
1002.0939,CostanzaP
1002.0939,DeMeuterW
1002.0942,VasconcelosV
1002.0942,MartinsF
1002.0942,CogumbreiroT
1002.0968,RussoC
1002.0986,JerrumM
1002.0986,GoldbergL
1002.1446,AmblardP
1002.1446,MichelO
1002.1559,TakahashiH
1002.1887,NajmanL
1002.1936,ChenC
1002.1936,ZhangJ
1002.1936,VogeleyM
1002.2514,DuanR
1002.2514,SeveriniS
1002.2514,WinterA
1002.2594,SchostE
1002.2594,DeFeoL
1002.2827,LochinE
1002.2827,PerennouT
1002.2827,DairaineL
1002.2864,AcetoL
1002.2864,CiminiM
1002.2864,IngolfsdottirA
1002.2867,JohanssonM
1002.2867,VictorB
1002.2867,ParrowJ
1002.2868,MousaviM
1002.2869,MonrealeG
1002.2869,GadducciF
1002.2869,BonchiF
1002.2871,PhillipsI
1002.2871,UlidowskiI
1002.2872,DowekG
1002.2872,MunozC
1002.2872,RochaC
1002.2873,ReniersM
1002.2873,WillemseT
1002.2964,XiaP
1002.2964,ChandrasekharV
1002.2964,AndrewsJ
1002.2971,WagnerA
1002.2971,AhmedE
1002.3234,ValletP
1002.3234,LoubatonP
1002.3234,MestreX
1002.3239,RuozziN
1002.3239,TatikondaS
1002.3258,ChevallereauC
1002.3258,GrizzleJ
1002.3258,ShihC
1002.3312,MurugesanS
1002.3312,SchniterP
1002.3312,ShroffN
1002.3583,ReichS
1002.3583,KopeckaE
1002.3583,ReemD
1002.3724,NassoS
1002.3724,SilvestriF
1002.3724,TisiotF
1002.3724,DiCamilloB
1002.3724,PietracaprinaA
1002.3724,ToffoloG
1002.3931,LeshemA
1002.3931,NoamY
1002.3931,MesserH
1002.4061,KahramanogullariO
1002.4062,DonaldsonR
1002.4062,CalderM
1002.4063,CiocchettaF
1002.4063,GuerrieroM
1002.4063,HillstonJ
1002.4064,HaackF
1002.4064,LeyeS
1002.4064,UhrmacherA
1002.4065,ZamborszkyJ
1002.4065,PriamiC
1002.4066,TroinaA
1002.4066,CapecchiS
1002.4067,BodeiC
1002.4067,BraccialiA
1002.4067,ChiarugiD
1002.4067,GoriR
1002.4088,EzermanM
1002.4088,LingS
1002.4088,SoleP
1002.4172,NayyarA
1002.4172,MahajanA
1002.4172,TeneketzisD
1002.4263,ChockalingamA
1002.4263,HongY
1002.4263,ViterboE
1002.4263,MohammedS
1002.4286,BalcazarJ
1002.4384,KoutschanC
1002.4384,KauersM
1002.4384,ZeilbergerD
1002.4661,AkmanO
1002.4661,GuerrieroM
1002.4661,LoeweL
1002.4661,TroeinC
1002.4935,ComonP
1002.4935,LimL
1003.0054,SrivastavaR
1003.0054,KoksalC
1003.0064,LiuS
1003.0064,LingC
1003.0064,StehleD
1003.0118,ObdrzalekJ
1003.0118,BrazdilT
1003.0118,BrozekV
1003.0118,KuceraA
1003.0219,WillskyA
1003.0219,SanghaviS
1003.0219,MalioutovD
1003.0358,CiresanD
1003.0358,MeierU
1003.0358,GambardellaL
1003.0358,SchmidhuberJ
1003.0381,SirigineediG
1003.0381,TsourdosA
1003.0381,WhiteB
1003.0381,ZbikowskiR
1003.0396,HincheyM
1003.0396,VassevE
1003.0425,JaparidzeG
1003.0431,KordyP
1003.0431,LangerakR
1003.0431,PoldermanJ
1003.0502,ShalitO
1003.0554,StreckerM
1003.0554,DagnatF
1003.0554,RuginaA
1003.0554,GarciaG
1003.0554,PantelM
1003.0554,BuissonJ
1003.0554,BodeveixJ
1003.0554,TalpinJ
1003.0554,OuyJ
1003.0554,GautierT
1003.0554,CortierA
1003.0554,BesnardL
1003.0617,DennisL
1003.0617,FisherM
1003.0617,LincolnN
1003.0617,LisitsaA
1003.0617,VeresS
1003.0634,LazarM
1003.0722,GuptaA
1003.0722,NagarajanV
1003.0722,RaviR
1003.1141,TurneyP
1003.1141,PantelP
1003.1257,AgrellE
1003.1257,KarlssonM
1003.1291,LorcaA
1003.1291,HuedoE
1003.1291,LlorenteI
1003.1412,BarbosaV
1003.1682,HavelundK
1003.1682,SmithM
1003.1682,BarringerH
1003.1682,GroceA
1003.1741,CimattiA
1003.1741,RoveriM
1003.1741,SusiA
1003.1741,TonettaS
1003.1787,ShiojiE
1003.1787,MatsumotoR
1003.1787,UyematsuT
1003.2022,ChaudhuryK
1003.2022,MunozBarrutiaA
1003.2022,UnserM
1003.2822,EldarY
1003.2822,FriedmanZ
1003.2822,TurR
1003.2871,ForgetJ
1003.2871,BoniolF
1003.2871,LesensD
1003.2871,PagettiC
1003.2883,KsairiN
1003.2883,BianchiP
1003.2883,CiblatP
1003.3091,RibeiroC
1003.3091,FerwornA
1003.3091,TranJ
1003.3092,RenaultE
1003.3092,AmarE
1003.3092,BoumerdassiS
1003.3195,WinterA
1003.3195,MatthewsW
1003.3195,LeungD
1003.3195,CubittT
1003.3305,KhemakhemM
1003.3305,BelghithA
1003.3307,MehtaS
1003.3307,KwakK
1003.3311,AlMogrenA
1003.3312,AlamM
1003.3312,ChanE
1003.3312,AliG
