article_id,author_id
2206.13222,SkokiA
2206.13222,LergaJ
2206.13222,StajduharI
2206.13237,FrischbierS
2206.13237,TahirJ
2206.13237,DoblanderC
2206.13237,HormannA
2206.13237,MayerR
2206.13237,JacobsenH
2206.13240,JoshiR
2206.13240,SinghA
2206.13263,ZustL
2206.13263,KristanM
2206.13361,VeronneauC
2206.13361,DenisJ
2206.13361,LebelL
2206.13361,DenningerM
2206.13361,PlanteJ
2206.13361,GirardA
2206.13399,CasellaB
2206.13399,ChisariA
2206.13399,BattiatoS
2206.13399,GiuffridaM
2206.13455,SolimanA
2206.13455,BonardiF
2206.13455,SidibeD
2206.13455,BouchafaS
2206.13462,CeolaF
2206.13462,MaiettiniE
2206.13462,PasqualeG
2206.13462,MeantiG
2206.13462,RosascoL
2206.13462,NataleL
2206.13468,AgarwalS
2206.13468,DuffT
2206.13468,LieblichM
2206.13468,ThomasR
2206.13480,delRioT
2206.13480,EnglandM
2206.13505,DeyaB
2206.13505,GoswamifD
2206.13505,HalderaS
2206.13505,KhalilbK
2206.13505,LerayaP
2206.13505,BayoumiM
2206.13560,AnandayuvarajD
2206.13560,DavisJ
2206.13580,NewmanM
2206.13594,ChernikovaA
2206.13594,GozziN
2206.13594,BoboilaS
2206.13594,AngadiP
2206.13594,LoughnerJ
2206.13594,WildenM
2206.13594,PerraN
2206.13594,EliassiRadT
2206.13594,OpreaA
2206.13603,CohenN
2206.13603,KleinI
2206.13611,ChatterjeeI
2206.13611,KimM
2206.13611,JayaramV
2206.13611,GollakotaS
2206.13611,KemelmacherShlizermanI
2206.13611,PatelS
2206.13611,SeitzS
2206.13627,GuoT
2206.13627,SilvaF
2206.13627,RokosO
2206.13627,VeroyK
2206.13629,CsajiB
2206.13629,HorvathB
2206.13657,LeporaN
2206.13657,LinY
2206.13657,MoneyCoomesB
2206.13657,LloydJ
2206.13704,MuramatsuH
2206.13704,ItaguchiY
2206.13704,KatsuraS
2206.13749,ZhangR
2206.13749,WestR
2206.13749,CuiX
2206.13749,ZhangC
2206.13804,ChenM
