author_id,last_name,first_name,middle_name,gender,total_pubs,total_cites,avg_cites,med_coauthors,n_unique_coauthors,hindex,rank_total_pubs,rank_total_cites,rank_avg_cites,rank_hindex
WangX,Wang,Xingbo,,,167,6958,41.665,3.0,349,39,2,10,6632,1
PoorH,Poor,H,Vincent,,78,6876,88.154,3.0,147,39,20,11,2802,1
ZhangJ,Zhang,Jiawei,,F,156,6449,41.34,3.0,350,37,4,14,6651,3
AbramoG,Abramo,Giovanni,,M,96,2941,30.635,2.0,20,33,9,90,9238,5
LiuY,Liu,Ying,,,159,5562,34.981,3.0,398,33,3,27,8057,5
ZhangR,Zhang,Ruimao,,,70,7612,108.743,2.0,121,33,26,7,2124,5
DAngeloC,DAngelo,Ciriaco,Andrea,,97,2926,30.165,2.0,23,32,8,93,9303,7
WangY,Wang,Yongqing,,,174,4627,26.592,3.0,445,30,1,56,10550,8
ZhangY,Zhang,Yichen,,M,133,3952,29.714,3.0,318,30,5,64,9540,8
DasS,Das,Sourav,,M,72,3024,42.0,2.0,100,29,22,83,6551,10
EldarY,Eldar,Yonina,C,F,49,3045,62.143,2.0,89,28,44,81,4325,12
BjornsonE,Bjornson,Emil,,,34,4184,123.059,3.0,44,28,91,62,1831,12
WangH,Wang,Haimin,,M,99,2739,27.667,3.0,246,28,7,99,10223,12
WangZ,Wang,Ziqin,,M,107,2997,28.009,3.0,256,28,6,85,9947,12
ChenJ,Chen,Jianshu,,,94,1841,19.585,3.0,225,27,12,164,13747,15
ZhangL,Zhang,Leo,Yu,,87,7713,88.655,3.0,203,27,16,6,2798,15
GiannakisG,Giannakis,Georgios,B,M,45,2929,65.089,2.0,46,26,51,92,4092,18
WangL,Wang,L,,,88,2836,32.227,3.0,214,26,15,94,8666,18
WangJ,Wang,Jun,,,96,2818,29.354,4.0,274,26,9,96,9588,18
ZhangZ,Zhang,Zhenyu,,M,90,4518,50.2,3.0,207,26,14,57,5446,18
LauV,Lau,Vincent,,M,47,2142,45.574,1.0,38,25,47,137,6062,21
ChenX,Chen,Xi,,,67,3025,45.149,3.0,197,25,28,82,6092,21
ZhangX,Zhang,Xuesen,,M,95,3128,32.926,3.0,283,24,11,79,8587,23
WangC,Wang,Chaofeng,,M,71,3531,49.732,3.0,280,24,24,73,5527,23
YangY,Yang,Yaodong,,M,82,2530,30.854,3.0,179,23,19,115,9218,27
ZhouX,Zhou,Xun,,,38,3477,91.5,3.0,84,23,72,74,2668,27
WildeM,Wilde,Mark,M,,64,1689,26.391,2.0,65,23,30,196,10601,27
