journal_issn,journal_title,snip_latest
0001-0782,Communications of the ACM,3.01414130932734
0001-1452,AIAA Journal,1.30854658287369
0001-1541,AICHE Journal,1.1617454216392
0001-4346,Mathematical Notes,0.863770630588359
0001-4575,Accident Analysis and Prevention,2.30067698862861
0001-4966,Journal of the Acoustical Society of America,1.19504866666911
0001-5903,Acta Informatica,1.41503171698125
0001-6969,Acta Scientiarum Mathematicarum,0.873495689314808
0001-8678,Advances in Applied Probability,0.994308947939432
0001-8708,Advances in Mathematics,2.06940964421886
0001-8732,Advances in Physics,5.59810836024503
0001-9054,Aequationes Mathematicae,1.5223526213045
0001-9240,Aeronautical Journal,0.783451944630517
0002-1962,Agronomy Journal,1.17556475373073
0002-5240,Algebra Universalis,0.962347193492282
0002-7642,American Behavioral Scientist,1.65576855878901
0002-7820,Journal of the American Ceramic Society,1.12550945869825
0002-8282,American Economic Review,7.90056282739714
0002-9505,American Journal of Physics,0.973203730995829
0002-9890,American Mathematical Monthly,1.02477651308436
0002-9920,Notices of the American Mathematical Society,0.736352289750857
0002-9939,Proceedings of the American Mathematical Society,1.05300296744409
0002-9947,Transactions of the American Mathematical Society,1.73390350368668
0003-1224,American Sociological Review,6.40899145520275
0003-1305,American Statistician,3.69913219875
0003-2654,"Analyst, The",0.925874936717911
0003-2700,Analytical Chemistry,1.42087264936848
0003-3804,Annalen der Physik,0.84855905358831
0003-4347,Annales des Telecommunications/Annals of Telecommunications,0.690018728817978
0003-486X,Annals of Mathematics,10.0767705229169
0003-4916,Annals of Physics,1.02895928527958
0003-6811,Applicable Analysis,0.956492311956385
0003-682X,Applied Acoustics,1.6867365783745
0003-6951,Applied Physics Letters,1.11869320137847
0003-9527,Archive for Rational Mechanics and Analysis,2.24570619863364
0004-3702,Artificial Intelligence,3.1303391263481
0004-5411,Journal of the ACM,2.8529104960361
0004-6256,Astronomical Journal,1.15975440794787
0004-6280,Publications of the Astronomical Society of the Pacific,1.28069332215606
0004-6337,Astronomische Nachrichten,0.38803270381556
